core_paper_id,title,authors,year,venue,doi,stable_identifier,publisher_url,full_text_url,access_date,evidence_access_level,source_document_sha256,manuscript_version,pagination_matches_published_version,dataset,exact_cmapss_subset,number_of_engines,nasa_files_used,research_task,prediction_target,learning_status,healthy_data_definition,anomaly_or_degradation_onset_definition,rul_label_definition,window_size,evaluation_unit,train_validation_test_split,engine_disjoint,random_windows_from_same_engine_can_cross_partitions,preprocessing,scaling,operating_condition_treatment,regime_clustering,feature_selection,model,calibration,threshold_method,smoothing,persistence_or_event_semantics,explanation_method,authors_stated_limitations,protocol_identified_limitations,code_availability,data_availability,methodological_relevance,manuscript_citation_role,comparison_category,direct_numerical_comparison_permitted,exact_comparability_caveat,numerical_value_ids
LIT-006,Multi-Sensor Prognostics using an Unsupervised Health Index based on LSTM Encoder-Decoder,"[""Pankaj Malhotra"",""Vishnu TV"",""Anusha Ramakrishnan"",""Gaurangi Anand"",""Lovekesh Vig"",""Puneet Agarwal"",""Gautam Shroff""]",2016,arXiv / PHM,10.48550/arXiv.1608.06154,arXiv:1608.06154,https://arxiv.org/abs/1608.06154,https://arxiv.org/pdf/1608.06154,2026-09-03,arxiv_full_text_verified,b62a8b848e235e9e82b35860c8261b5b1355933f387ab5d97505a56c31412008,arxiv_author_version,False,NASA C-MAPSS turbofan plus milling and industrial pulverizer,single-condition 100-train/100-test C-MAPSS set (FD001-equivalent),100 train and 100 official test engines,"{""train_FD001"":true,""test_FD001"":true,""RUL_FD001"":true,""FD002"":false}",health-index construction and RUL estimation,official-test terminal RUL,unsupervised healthy reconstruction followed by similarity-based RUL,healthy subsequences from run-to-failure training instances,continuous reconstruction-error health index; no binary onset,trajectory-similarity terminal RUL,20 cycles,engine terminal RUL,"80 training engines fit, 20 training engines tune via truncation; 100 official test engines evaluate",True,False,PCA to three derived sensors and sequence reconstruction,reported normalization,single-condition C-MAPSS; multiple regimes handled separately only as an extension,not for C-MAPSS case,PCA,LSTM encoder-decoder plus linear health-index mapping and trajectory matching,grid search on 20 training engines,not an anomaly threshold,health-index curve matching,terminal RUL,reconstruction error as health index,HI varies substantially among engines at equal normalized age,"FD001-equivalent RUL endpoint study, not FD002 alert evaluation",NR,public datasets; industrial data not public,Foundational unsupervised LSTM reconstruction health index,reconstruction-method foundation,C,False,Official-test RUL results are contextual and cannot be compared with FD002 proxy anomaly metrics.,"[""LIT-006-V01"",""LIT-006-V02"",""LIT-006-V03"",""LIT-006-V04"",""LIT-006-V05"",""LIT-006-V06"",""LIT-006-V07"",""LIT-006-V08""]"
LIT-003,Performance Benchmarking and Analysis of Prognostic Methods for CMAPSS Datasets,"[""Emmanuel Ramasso"",""Abhinav Saxena""]",2014,International Journal of Prognostics and Health Management 5(2),10.36001/ijphm.2014.v5i2.2236,IJPHM:2236,https://papers.phmsociety.org/index.php/ijphm/article/view/2236,https://papers.phmsociety.org/index.php/ijphm/article/download/2236/1223,2026-09-03,publisher_full_text_verified,25c158e4a97fcacc797c49a0f1b23a242d13f3a55d5699ee8ca5d72d10001305,version_of_record,True,NASA C-MAPSS benchmark family,all C-MAPSS/PHM08 datasets,benchmark review,"{""train_files"":""reviewed"",""official_test_files"":""reviewed"",""RUL_files"":""reviewed""}",benchmarking and review,RUL/prognostic performance,methodological review,not applicable,discusses health-state segmentation but defines no universal anomaly onset,reviews RUL conventions,various,engine-level prognostic score,review of more than 70 publications and challenge baselines,various,various,reviews feature extraction/selection and health indices,various,highlights operating-condition variability,various,various,multiple prognostic models,various,not applicable,various,various,various,benchmark comparability remained difficult because protocols and datasets were inconsistently used,Review values are not a new directly comparable anomaly experiment,not applicable,NASA C-MAPSS public data,Defines benchmark-comparison cautions,dataset/evaluation foundation,C,False,A RUL benchmark review; no protocol-equivalent FD002 anomaly result.,[]
LIT-004,Review and Analysis of Algorithmic Approaches Developed for Prognostics on CMAPSS Dataset,"[""Emmanuel Ramasso"",""Abhinav Saxena""]",2014,Annual Conference of the PHM Society / NASA report,NR,NASA NTRS:20150007677,https://ntrs.nasa.gov/citations/20150007677,https://ntrs.nasa.gov/api/citations/20150007677/downloads/20150007677.pdf,2026-09-03,institutional_repository_verified,5b42232526e3f3ffb7167a712f609c5ebc49b58d58d4536929ec18ffbc466c74,nasa_public_manuscript,True,NASA C-MAPSS benchmark family,all C-MAPSS datasets,review,"{""train_files"":""reviewed"",""official_test_files"":""reviewed"",""RUL_files"":""reviewed""}",prognostic-method review,RUL and health-state estimation,methodological review,not applicable,no common onset,reviews piecewise and complete-trajectory RUL conventions,various,various,review and workflow guidance,various,various,reviews preprocessing and feature steps,various,operating-condition assessment identified as a key step,various,various,multiple,various,not applicable,various,various,various,few studies used official test consistently; comparison remained difficult,"Review is contextual, not a new detector evaluation",not applicable,NASA C-MAPSS public data,Supports official-test protocol interpretation,dataset and evaluation foundation,C,False,"Review evidence establishes protocol pitfalls, not directly comparable performance.",[]
LIT-001,Damage Propagation Modeling for Aircraft Engine Run-to-Failure Simulation,"[""Abhinav Saxena"",""Kai Goebel"",""Don Simon"",""Neil Eklund""]",2008,International Conference on Prognostics and Health Management,10.1109/PHM.2008.4711414,NASA NTRS:20090029214,https://doi.org/10.1109/PHM.2008.4711414,https://ntrs.nasa.gov/api/citations/20090029214/downloads/20090029214.pdf,2026-09-03,institutional_repository_verified,65c61129bf2ab89ff2d97aa8ae7371136dc3bb386a885c1bce358142c9a315ad,nasa_author_manuscript,False,C-MAPSS simulator-generated engine trajectories,dataset-generation foundation rather than FD001-FD004 evaluation,simulated fleets,"{""released_FD002_files"":false}",damage-propagation simulation,run-to-failure sensor trajectories,physics/simulation model,pre-fault operating period before randomized degradation injection,randomly selected deterioration start under exponential flow/efficiency loss,failure when health index reaches zero,cycle,cycle and simulated engine,simulation scenarios,not applicable,False,thermodynamic response surfaces and stochastic degradation parameters,not applicable,flight/operating conditions are simulator inputs,not applicable,sensor response surfaces,C-MAPSS simulation,not applicable,failure criteria,not applicable,run to failure,health-index margins,simulation realism is bounded by chosen fault/degradation laws,Foundation only; not an evaluated anomaly detector,NR,resulting benchmark data released separately,Explains synthetic degradation and unknown-onset boundary,C-MAPSS foundation,C,False,Foundational simulator evidence cannot serve as a detector comparator.,[]
LIT-005,LSTM-based Encoder-Decoder for Multi-sensor Anomaly Detection,"[""Pankaj Malhotra"",""Anusha Ramakrishnan"",""Gaurangi Anand"",""Lovekesh Vig"",""Puneet Agarwal"",""Gautam Shroff""]",2016,ICML Anomaly Detection Workshop / arXiv,10.48550/arXiv.1607.00148,arXiv:1607.00148,https://arxiv.org/abs/1607.00148,https://arxiv.org/pdf/1607.00148,2026-09-03,arxiv_full_text_verified,d4c506d82061d0eb532a7c172682c7c8c1803705a8dbd9561fc8980927d9b3cd,arxiv_author_version,False,five public/industrial multivariate datasets,not C-MAPSS FD002,varies,"{""nasa_cmapss_files"":false}",multisensor anomaly detection,anomalous sequences,unsupervised/semi-supervised normal-only reconstruction,normal sequences,dataset labels/events,not used,30-500 depending dataset,time point/sequence,dataset-specific normal training and labeled evaluation,varies,False,sequence standardization,training-data scaling,unobserved exogenous conditions motivate robust reconstruction,none,dataset-specific,LSTM encoder-decoder,normal reconstruction-error distribution,Gaussian error model / likelihood threshold,NR,sequence anomaly,multivariate reconstruction errors,threshold assumptions and dataset-specific labels,"No FD002, regime treatment, or matching event metrics",NR,mixed public/proprietary,Foundational LSTM reconstruction method,method foundation,D,False,Generic method paper without FD002 evaluation.,[]
LIT-026,Detecting Spacecraft Anomalies Using LSTMs and Nonparametric Dynamic Thresholding,"[""Kyle Hundman"",""Valentino Constantinou"",""Christopher Laporte"",""Ian Colwell"",""Tom Soderstrom""]",2018,ACM SIGKDD,10.1145/3219819.3219845,arXiv:1802.04431,https://doi.org/10.1145/3219819.3219845,https://arxiv.org/pdf/1802.04431,2026-09-03,arxiv_full_text_verified,bd5e2eb0706d2278eec1874dd32700fbd0d929e9c7208ed33c28ae5ace305836,arxiv_author_version,False,NASA SMAP and MSL telemetry,not C-MAPSS,expert-labeled telemetry channels,"{""nasa_cmapss_files"":false}",spacecraft telemetry anomaly detection,expert-labeled anomaly sequences,sequence prediction plus unsupervised dynamic threshold,nominal-predominant telemetry,expert-labeled events,not used,prediction history and trailing error windows,channel time point/event,mission telemetry train/test partitions,NR,False,channel-wise normalization and LSTM prediction,channel scaling,channel-specific behavior; not operating regimes,none,channel selection,LSTM forecaster,nonparametric trailing-error threshold optimization,dynamic error threshold,error smoothing,grouped anomalous sequences with pruning/false-positive mitigation,channel-wise errors,labels are incomplete and telemetry characteristics differ by channel,"Different domain, labels, prediction model, and event semantics",public implementation reported,SMAP/MSL labels and telemetry released,Supports dynamic thresholds and event grouping,alert-postprocessing foundation,D,False,Spacecraft telemetry event detection is methodological context only.,[]
LIT-034,An Evaluation of Anomaly Detection and Diagnosis in Multivariate Time Series,"[""Astha Garg"",""Wenyu Zhang"",""Jules Samaran"",""Savitha Ramasamy"",""Chuan-Sheng Foo""]",2022,"IEEE Transactions on Neural Networks and Learning Systems 33(6), 2508-2517",10.1109/TNNLS.2021.3105827,arXiv:2109.11428,https://doi.org/10.1109/TNNLS.2021.3105827,https://arxiv.org/pdf/2109.11428,2026-09-03,arxiv_full_text_verified,5f199eef5306d1853d726c69e064207c1b6e056e7c549f84512d878618798715,arxiv_author_version,False,multivariate cyber-physical-system benchmarks,not C-MAPSS,multiple benchmark datasets,"{""nasa_cmapss_files"":false}",anomaly detection and diagnosis evaluation,point and event anomalies,unsupervised and semi-supervised methods,dataset-specific normal training,dataset labels,not used,model-specific,point and event,published benchmark splits,varies,False,ten models crossed with four scoring functions,dataset-specific,not operating-regime focused,none,channel-wise models included,ten reconstruction/prediction models,four error-scoring functions,static and dynamic scores,dynamic scoring,event-aware composite F-score,channel-wise diagnosis via error,benchmark labels and metrics have known biases,No FD002 or matched proxy/event definitions,code reported,public benchmarks,Supports event-aware metrics and importance of score postprocessing,evaluation-method foundation,D,False,General benchmark evidence; metrics are not transferable as direct FD002 comparisons.,[]
LIT-036,Towards a Rigorous Evaluation of Time-Series Anomaly Detection,"[""Siwon Kim"",""Kukjin Choi"",""Hyun-Soo Choi"",""Byunghan Lee"",""Sungroh Yoon""]",2022,"Proceedings of AAAI 36(7), 7194-7201",10.1609/aaai.v36i7.20680,AAAI:20680,https://ojs.aaai.org/index.php/AAAI/article/view/20680,https://ojs.aaai.org/index.php/AAAI/article/download/20680/20439,2026-09-03,publisher_full_text_verified,153966cc6b9ccf4d19e20a71430e865aaa540858db605f8aa88e28c4e062b8bb,version_of_record,True,time-series anomaly benchmarks,not C-MAPSS,multiple datasets,"{""nasa_cmapss_files"":false}",evaluation methodology,point/range anomaly labels,method-independent evaluation,not applicable,dataset labels,not used,varies,point/range,benchmark protocols,varies,False,evaluation protocol analysis,not applicable,not operating-regime focused,none,not applicable,trained and untrained detector baselines,not applicable,thresholding as used by compared methods,not applicable,point adjustment examined,not applicable,scope limited to benchmark protocols studied,Demonstrates point adjustment inflation; no FD002 result,code/data links reported,public benchmarks,Justifies avoiding point adjustment and trivial-baseline inflation,evaluation-validity foundation,D,False,No FD002 experiment; supports only evaluation-design claims.,[]
LIT-055,Anomaly Detection and Fault Disambiguation in Large Flight Data: A Multi-modal Deep Auto-encoder Approach,"[""Kishore K. Reddy"",""Soumalya Sarkar"",""Vivek Venugopalan"",""Michael Giering""]",2016,Annual Conference of the PHM Society 8(1),10.36001/phmconf.2016.v8i1.2549,PHMCONF:2549,https://papers.phmsociety.org/index.php/phmconf/article/view/2549,https://papers.phmsociety.org/index.php/phmconf/article/download/2549/1509,2026-09-03,publisher_full_text_verified,8641666caffbcaadc6db4152f3509260f9a96757b05f8dd510925786d695886a,version_of_record,True,NASA electromechanical-actuator flight/test data,not C-MAPSS,laboratory scenarios across operating conditions,"{""nasa_cmapss_files"":false}",anomaly detection and fault disambiguation,fault scenario,unsupervised nominal-data autoencoder,nominal operating scenarios,injected/experimental faults,not used,raw time-series segments,sample/event,nominal training and laboratory validation across conditions,NR,False,raw multisensor sequences,reported normalization,multiple operating conditions represented in nominal training,none,no handcrafted features,multi-modal deep autoencoder,nominal reconstruction behavior,reconstruction error,NR,fault scenarios,individual-sensor reconstruction-error decomposition,two fault scenarios and laboratory setting limit breadth,"Different system, labels, and detection-rate metric",NR,NASA open actuator data,Direct precedent for observational sensor-wise reconstruction attribution,explainability-method foundation,D,False,Sensor contribution method is relevant; numerical results are not comparable with FD002 alerts.,"[""LIT-055-V01"",""LIT-055-V02""]"
LIT-051,Aero-Engine Fault Detection with an LSTM Auto-Encoder Combined with a Self-Attention Mechanism,"[""Wenyou Du"",""Jingyi Zhang"",""Guanglei Meng"",""Haoran Zhang""]",2024,"Machines 12(12), 879",10.3390/machines12120879,Machines:12:879,https://doi.org/10.3390/machines12120879,https://mdpi-res.com/d_attachment/machines/machines-12-00879/article_deploy/machines-12-00879.pdf,2026-09-03,publisher_full_text_verified,e9d65906d8716bb8bc396da0c9bb24e8f5c7642a6a2c040ea1d835b9f78bd493,version_of_record,True,real piston aero-engine ECU time series,not C-MAPSS,two-hour flight-status records; exact engine count NR,"{""nasa_cmapss_files"":false}",aero-engine fault detection,fault versus normal sequence,unsupervised normal-only reconstruction,normal ECU operating data,experimental fault labels,not used,time-series windows; exact length in Section 3,window/time point,normal training and fault evaluation; exact engine-disjoint status NR,NR,NR,dynamic multivariate sequence preprocessing,reported normalization,multiple operating modes represented; self-attention models coupling,none,ECU variables,LSTM autoencoder with self-attention,normal reconstruction distribution,window reconstruction-error threshold,NR,point/window fault decisions,attention plus reconstruction errors; attention is not causal attribution,single piston-engine dataset and limited fault cases,Not turbofan C-MAPSS; split and metrics differ,NR,data available on request/NR,Reserve replacement preserves aero-engine LSTM-autoencoder relevance,methodological fault-detection context,C,False,"Aero-engine anomaly intent aligns, but hardware, data, labels, split, and metrics are different.",[]
