paper_id,title,authors,publication_year,venue,doi_or_stable_identifier,authoritative_url,full_text_url,dataset,exact_subset,research_task,learning_setting,operating_condition_treatment,model,split_strategy,evaluation_unit,label_or_onset_definition,metrics,exact_reported_metric_values,metric_direction,evidence_location,result_scope,code_or_data_available,limitations,relevance_to_methodology,comparison_category,evidence_access_level,verification_status,direct_comparison_permitted,source_v3_id,source_v3_path,source_v3_sha256,access_date,notes
LIT-011,Aero-engines Anomaly Detection using an Unsupervised Fisher Autoencoder,Saba Sanami; Amir G. Aghdam,2025,IEEE / arXiv,arXiv:2502.05428,https://arxiv.org/abs/2502.05428,NR,C-MAPSS,FD001; FD003,anomaly/degradation detection,unsupervised or method-dependent; exact training supervision NR,NR,Fisher-divergence autoencoder for imbalanced aero-engine anomaly detection,NR,NR,NR,NR,NR,NR,NR,NR,NR,Preprint/short-conference reporting and protocol differences,Modern autoencoder comparator and novelty overlap,C,abstract_only,screening_only_no_numeric_use,False,11,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,NR,2025,arXiv preprint,arXiv:2502.19307,https://arxiv.org/html/2502.19307v3,https://arxiv.org/html/2502.19307v3,C-MAPSS FD001 and FD003,FD001; FD003,anomaly/degradation detection,unsupervised autoencoder with proxy labels for evaluation,single-condition FD001 and FD003 only,temporal differential consistency autoencoder (TDC-AE),random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,cycle/sample plus engine critical-detection rate,first 60% normal; final 40% anomalous,accuracy; precision; recall; F1; critical detection rate,FD001: 96.49%; 95.95%; 95.18%; 95.56%; 100.0%. FD003: 94.84%; 93.81%; 93.16%; 93.49%; 100.0%,higher_is_better,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II",engine-disjoint random 80/20 test; 60/40 lifetime proxy; FD001 and FD003 only,NR,Threshold uses proxy labels and results are not FD002,Efficient modern comparator; exposes label sensitivity,C,authoritative_html_full_text_verified,verified_for_numeric_extraction,False,12,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-013,Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders,Pablo Sanchez Gallego; Karen Tatiana Reyes Mina; Bianca Elena Radu; Eugenio Jose Fernandez Vicente,2026,arXiv preprint,arXiv:2601.10269,https://arxiv.org/abs/2601.10269,https://ebuah.uah.es/xmlui/bitstream/handle/10017/68237/early_sanchez_UAH_IA3_2026.pdf?isAllowed=y&sequence=3,C-MAPSS FD001-FD004,FD001; FD002; FD003; FD004,anomaly/degradation detection,unsupervised LSTM autoencoder trained on healthy portion,regression normalization; operating variables appended as context,three-layer LSTM autoencoder; reconstruction threshold; persistence,within-trajectory 85/15 training/evaluation; 20% of healthy windows used for validation,cycle/window,first 90% normal; final 10% degraded,precision; recall; specificity; F1,FD002: precision=0.374; recall=0.799; specificity=0.982; F1=0.510,higher_is_better,"University of Alcala author manuscript, Sec. V-VI, Table 3 (pp. 9-11)",post-training evaluation; per-trajectory heuristic; first 90% normal and final 10% degraded; training uses first 85%,NR,Same-engine life partition; heuristic 85/15 and final-10% labels; not fully adaptive,Closest prior work; invalidates first-application claim,B,author_manuscript_verified,verified_for_numeric_extraction,False,13,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,"Closest study, but its split, healthy region, labels, threshold, and metric differ from the current validation-proxy PR-AUC."
LIT-014,RAVEN: Unsupervised Anomaly Detection in Multivariate Time Series through Residual Modeling and Autoencoder Reconstruction,NR,2025,PHM Asia Pacific,https://papers.phmsociety.org/index.php/phmap/article/view/4647,https://papers.phmsociety.org/index.php/phmap/article/view/4647,https://papers.phmsociety.org/index.php/phmap/article/view/4647,Real jet-engine test data plus simulation context,Real jet-engine test data plus simulation context,residual anomaly,unsupervised or method-dependent; exact training supervision NR,NR,Regresses operating effects then models healthy residuals with LSTM-AE; event-level evaluation,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not the same FD002 benchmark,Strong residualization and operational-variability precedent,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,14,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-015,Autoencoder-Based Anomaly Detection for Turbofan Engine Sensors Data,NR,2026,Engineering and Technology Journal,https://everant.org/index.php/etj/article/view/2452,https://everant.org/index.php/etj/article/view/2452,NR,C-MAPSS FD001,FD001,anomaly/degradation detection,unsupervised or method-dependent; exact training supervision NR,NR,Autoencoder reconstruction error with a 95th-percentile threshold,NR,NR,NR,NR,NR,NR,NR,NR,NR,Lower-quality venue; labels and operational meaning of detected points are weak,Background only; do not use as central validation,C,abstract_only,screening_only_no_numeric_use,False,15,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-016,Anomaly Detection in Asset Degradation Process Using Variational Autoencoder,NR,2022,Sensors,https://www.mdpi.com/1424-8220/22/1/291,https://www.mdpi.com/1424-8220/22/1/291,NR,Industrial degradation monitoring,Industrial degradation monitoring,degradation anomaly,unsupervised or method-dependent; exact training supervision NR,NR,Uses VAE reconstruction for degradation monitoring and an RUL-based normality boundary,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not a C-MAPSS FD002 study,Alternative RUL-threshold proxy,D,abstract_only,screening_only_no_numeric_use,False,16,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-017,Gas Turbine Anomaly Detection under Time-Varying Operation Conditions Based on Spectra Alignment and Self-Adaptive Normalization,NR,2024,Sensors,https://www.mdpi.com/1424-8220/24/3/941,https://www.mdpi.com/1424-8220/24/3/941,https://www.mdpi.com/1424-8220/24/3/941,Gas-turbine vibration,Gas-turbine vibration,condition-aware prognostics or monitoring,not_applicable_or_NR,NR,Addresses condition variation with alignment and self-adaptive normalization,NR,NR,NR,NR,NR,NR,NR,NR,NR,Different sensors and asset context,Shows condition-aware normalization is established broadly,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,17,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-018,Multiform Informed Machine Learning Based on Piecewise and Weibull for Engine RUL Prediction,NR,2023,Sensors,https://www.mdpi.com/1424-8220/23/12/5669,https://www.mdpi.com/1424-8220/23/12/5669,https://www.mdpi.com/1424-8220/23/12/5669,C-MAPSS,C-MAPSS,condition-aware prognostics or monitoring,not_applicable_or_NR,NR,Clusters diverse operating conditions with K-means and normalizes by cluster,NR,NR,NR,NR,NR,NR,NR,NR,NR,RUL rather than anomaly detection,Direct precedent for K-means condition-wise normalization,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,18,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-019,Condition-Aware AI for Predictive Maintenance: Dual-Attention CNN-GRU with Per-Regime Scaling,NR,2026,Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417426004951,https://www.sciencedirect.com/science/article/pii/S0957417426004951,https://www.sciencedirect.com/science/article/pii/S0957417426004951,C-MAPSS FD002,FD002,condition-aware prognostics or monitoring,unsupervised or method-dependent; exact training supervision NR,NR,Uses unsupervised operating-regime clustering and per-regime scaling,NR,NR,NR,NR,NR,NR,NR,NR,NR,RUL rather than anomaly detection,Direct precedent invalidating per-regime-scaling novelty,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,19,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-020,Domain Adaptation via Alignment of Operation Profile for Remaining Useful Lifetime Prediction,NR,2023,Reliability Engineering & System Safety / arXiv,arXiv:2302.01704,https://arxiv.org/abs/2302.01704,https://arxiv.org/abs/2302.01704,N-CMAPSS,N-CMAPSS,domain-adapted RUL prediction,not_applicable_or_NR,NR,Aligns operating profiles for cross-condition generalization,NR,NR,NR,NR,NR,NR,NR,NR,NR,Different dataset and RUL endpoint,Alternative to discrete regime normalization,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,20,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-021,A Self-Organizing Map and a Normalizing Multi-Layer Perceptron Approach to Baselining in Prognostics under Dynamic Regimes,NR,2021,Neurocomputing,https://doi.org/10.1016/j.neucom.2021.05.031,https://doi.org/10.1016/j.neucom.2021.05.031,https://doi.org/10.1016/j.neucom.2021.05.031,Dynamic operating regimes including C-MAPSS context,Dynamic operating regimes including C-MAPSS context,condition-aware prognostics or monitoring,not_applicable_or_NR,NR,Learns operating-condition baselines before degradation assessment,NR,NR,NR,NR,NR,NR,NR,NR,NR,Prognostics-oriented,Alternative regression/baselining comparator,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,21,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-022,A Comparison of Residual-based Methods on Fault Detection,NR,2023,PHM Society Conference,https://papers.phmsociety.org/index.php/phmconf/article/view/3444,https://papers.phmsociety.org/index.php/phmconf/article/view/3444,https://papers.phmsociety.org/index.php/phmconf/article/view/3444,Industrial multivariate systems,Industrial multivariate systems,residual anomaly,unsupervised or method-dependent; exact training supervision NR,NR,Compares autoencoder residuals with input-output models that condition on operating variables,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not the FD002 study,Motivates regression residualization versus AE residuals,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,22,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-023,Isolation Forest,NR,2008,IEEE ICDM,IEEE:4781136,https://ieeexplore.ieee.org/document/4781136,NR,General tabular anomaly detection,General tabular anomaly detection,classical baseline,not_applicable_or_NR,NR,Isolation-based anomaly scoring with subsampling,NR,NR,NR,NR,NR,NR,NR,NR,NR,Window flattening discards temporal order,Required classical baseline,D,abstract_only,screening_only_no_numeric_use,False,23,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-024,LOF: Identifying Density-Based Local Outliers,NR,2000,ACM SIGMOD,doi:10.1145/342009.335388,https://dl.acm.org/doi/10.1145/342009.335388,NR,General anomaly detection,General anomaly detection,classical baseline,not_applicable_or_NR,NR,Local-density deviation score,NR,NR,NR,NR,NR,NR,NR,NR,NR,Standard LOF is not an unseen-data novelty detector unless configured appropriately,Required local-density baseline,D,abstract_only,screening_only_no_numeric_use,False,24,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-025,Estimating the Support of a High-Dimensional Distribution,NR,2001,Neural Computation,https://doi.org/10.1162/089976601750264965,https://doi.org/10.1162/089976601750264965,NR,General one-class learning,General one-class learning,classical baseline,one-class,NR,One-class SVM learns the support of normal data,NR,NR,NR,NR,NR,NR,NR,NR,NR,Sensitive to scaling and hyperparameters,Baseline and change-point component,D,abstract_only,screening_only_no_numeric_use,False,25,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-026,Detecting Spacecraft Anomalies Using LSTMs and Nonparametric Dynamic Thresholding,NR,2018,KDD,doi:10.1145/3219819.3219845,https://dl.acm.org/doi/10.1145/3219819.3219845,https://dl.acm.org/doi/10.1145/3219819.3219845,NASA spacecraft telemetry,NASA spacecraft telemetry,dynamic threshold,not_applicable_or_NR,NR,Couples temporal model errors with a dynamic nonparametric threshold,NR,NR,NR,NR,NR,NR,NR,NR,NR,Different telemetry benchmark and supervised incident context,Precedent for dynamic thresholding and persistence,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,26,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-027,Anomaly Detection in Streams with Extreme Value Theory,NR,2017,KDD,doi:10.1145/3097983.3098144,https://dl.acm.org/doi/10.1145/3097983.3098144,https://dl.acm.org/doi/10.1145/3097983.3098144,Streaming time series,Streaming time series,dynamic threshold,not_applicable_or_NR,NR,SPOT controls tail risk without a fixed distributional threshold,NR,NR,NR,NR,NR,NR,NR,NR,NR,Originally univariate; multivariate score must be aggregated first,EVT threshold comparator,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,27,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-028,Robust Anomaly Detection for Multivariate Time Series through Stochastic Recurrent Neural Network,NR,2019,KDD,doi:10.1145/3292500.3330672,https://dl.acm.org/doi/10.1145/3292500.3330672,https://dl.acm.org/doi/10.1145/3292500.3330672,Multivariate time series,Multivariate time series,deep baseline,not_applicable_or_NR,NR,OmniAnomaly uses a stochastic recurrent latent-variable model,NR,NR,NR,NR,NR,NR,NR,NR,NR,High complexity and benchmark protocol differences,Optional modern baseline,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,28,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-029,USAD: UnSupervised Anomaly Detection on Multivariate Time Series,NR,2020,KDD,doi:10.1145/3394486.3403392,https://dl.acm.org/doi/10.1145/3394486.3403392,https://dl.acm.org/doi/10.1145/3394486.3403392,Multivariate time series,Multivariate time series,deep baseline,unsupervised or method-dependent; exact training supervision NR,NR,Adversarially trained autoencoder ensemble,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not condition-aware and can be evaluation-protocol sensitive,Feasible modern comparator,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,29,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-030,Multivariate Time-series Anomaly Detection via Graph Attention Network,NR,2020,IEEE ICDM / arXiv,arXiv:2009.02040,https://arxiv.org/abs/2009.02040,https://arxiv.org/abs/2009.02040,Multivariate time series,Multivariate time series,deep baseline,not_applicable_or_NR,NR,MTAD-GAT models temporal and feature dependencies,NR,NR,NR,NR,NR,NR,NR,NR,NR,More complex than LSTM-AE and not guaranteed better,Optional sensor-dependency comparator,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,30,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-031,TranAD: Deep Transformer Networks for Anomaly Detection in Multivariate Time Series Data,NR,2022,PVLDB / arXiv,arXiv:2201.07284,https://arxiv.org/abs/2201.07284,https://arxiv.org/abs/2201.07284,Multivariate time series,Multivariate time series,deep baseline,not_applicable_or_NR,NR,Transformer-based reconstruction with adversarial training,NR,NR,NR,NR,NR,NR,NR,NR,NR,Reported scores may depend on evaluation conventions,Optional transformer comparator,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,31,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-032,Anomaly Transformer: Time Series Anomaly Detection with Association Discrepancy,NR,2022,ICLR,https://openreview.net/forum?id=LzQQ89U1qm_,https://openreview.net/forum?id=LzQQ89U1qm_,https://openreview.net/forum?id=LzQQ89U1qm_,Multivariate time series,Multivariate time series,deep baseline,not_applicable_or_NR,NR,Uses association discrepancy for anomaly scoring,NR,NR,NR,NR,NR,NR,NR,NR,NR,Complex and benchmark-dependent,Literature coverage; not necessary for minimum project,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,32,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
