window_index,op_mode,is_healthy,reconstruction_error
82,1,0,0.86498684
83,1,0,0.8727656
84,3,0,0.8859743
85,0,0,0.9180663
86,0,0,0.93826157
87,3,0,0.9430116
88,0,0,0.9492984
89,3,0,0.93986547
90,1,0,0.95496935
91,0,0,0.9743502
92,0,0,0.9857822
93,0,0,1.0112638
94,3,0,1.0163808
95,1,0,1.0094632
96,0,0,1.0293638
97,1,0,1.0505884
98,0,0,1.0560769
99,3,0,1.0717986
100,2,0,1.073621
101,2,0,1.101603
102,0,0,1.1204836
103,2,0,1.1225182
104,0,0,1.1307148
105,1,0,1.1350306
106,1,0,1.1828358
107,3,0,1.1880387
108,0,0,1.2125493
109,0,0,1.2324829
110,1,0,1.2575032
111,1,0,1.3028675
112,1,0,1.3438435
113,1,0,1.3669935
114,0,0,1.3653076
115,2,0,1.3817104
116,3,0,1.3993769
117,0,0,1.4398173
118,0,0,1.4324366
119,1,0,1.4749342
120,1,1,0.6373385
121,1,1,0.6229677
122,0,1,0.6060858
123,0,1,0.5933976
124,0,1,0.60596
125,0,1,0.6066906
126,0,1,0.6138697
127,0,1,0.60151124
128,3,1,0.58448213
129,0,1,0.58399683
130,0,1,0.6014427
131,2,1,0.5852075
132,0,1,0.5871824
133,1,1,0.6014842
134,0,1,0.581287
135,3,1,0.5742343
136,0,1,0.57427764
137,3,1,0.5781684
138,1,1,0.5674519
139,1,1,0.55742747
140,0,1,0.5485005
141,3,1,0.5617416
142,3,1,0.55684274
143,1,1,0.5545448
144,0,1,0.55278385
145,0,1,0.5453552
146,0,1,0.5615049
147,0,1,0.5592835
148,3,1,0.5619951
149,3,1,0.55938494
150,1,1,0.5485903
151,0,1,0.5527105
152,2,1,0.55690074
153,1,1,0.57198894
154,1,1,0.56509775
155,1,1,0.54680145
156,2,1,0.54604995
157,1,1,0.54018825
158,2,1,0.5341528
159,3,1,0.5132989
160,1,1,0.49026853
161,3,1,0.49467644
162,0,1,0.48735294
163,1,1,0.48232955
164,3,1,0.48147148
165,0,1,0.50246006
166,0,1,0.48025015
167,0,1,0.47718066
168,2,1,0.47771394
169,2,1,0.47677782
170,0,1,0.47682467
171,2,0,0.46139666
172,3,0,0.47846514
173,2,0,0.48160404
174,2,0,0.48393807
175,0,0,0.47677496
176,3,0,0.47509798
177,1,0,0.47918376
178,3,0,0.48721755
179,0,0,0.4716034
180,3,0,0.47891575
181,1,0,0.481198
182,3,0,0.48398957
183,1,0,0.47997212
184,1,0,0.47458956
185,0,0,0.49263874
186,1,0,0.49290133
187,0,0,0.49326637
188,2,0,0.5092147
189,3,0,0.50569445
190,1,0,0.5314467
191,0,0,0.5493055
192,2,0,0.5726943
193,2,0,0.55919284
194,0,0,0.5791267
195,2,0,0.5859343
196,0,0,0.59478486
197,1,0,0.5931837
198,0,0,0.61524355
199,1,0,0.6195911
200,2,0,0.59893465
201,2,0,0.6022151
202,1,0,0.60687685
203,3,0,0.6042754
204,0,0,0.61119866
205,1,0,0.6217168
206,1,0,0.62907267
207,0,0,0.63169754
208,1,0,0.61538446
209,0,0,0.6129719
210,3,0,0.607799
211,1,0,0.6058241
212,1,0,0.62138325
213,0,0,0.60975236
214,2,0,0.62593234
215,0,0,0.6083354
216,1,0,0.61231077
217,1,0,0.6142892
218,2,0,0.6015898
219,0,0,0.6167194
220,0,0,0.5965301
221,0,0,0.5852443
222,2,0,0.56111574
223,2,0,0.5814451
224,2,0,0.56854206
225,2,0,0.54740417
226,1,0,0.5445863
227,0,0,0.5454553
228,1,0,0.5510362
229,3,0,0.5405732
230,2,0,0.53996974
231,3,0,0.5449418
232,3,0,0.547973
233,0,0,0.5281697
234,0,0,0.5351065
235,2,0,0.549944
236,3,0,0.54805356
237,0,0,0.5512857
238,0,0,0.5499069
239,3,0,0.55012345
240,0,0,0.5751982
241,0,0,0.57408166
242,0,0,0.55830204
243,1,0,0.5622368
244,3,0,0.56999075
245,0,0,0.57400113
246,0,0,0.58036715
247,3,0,0.5863272
248,1,0,0.5901191
249,0,0,0.60624427
250,0,0,0.6116789
251,0,0,0.6223119
252,2,0,0.6205343
253,2,0,0.6183071
254,0,0,0.62068486
255,3,0,0.6295051
256,3,0,0.63792044
257,0,0,0.6323774
258,0,0,0.6177033
259,2,0,0.61930794
260,0,0,0.62969095
261,0,0,0.6335355
262,3,0,0.6131523
263,1,0,0.61386454
264,0,0,0.6050637
265,1,0,0.59425366
266,3,0,0.5762462
267,1,0,0.5812594
268,3,0,0.6046206
269,1,0,0.6309342
270,2,0,0.6093889
271,1,0,0.62286574
272,0,0,0.6433162
273,0,0,0.6586465
274,0,0,0.65320617
275,3,0,0.6634542
276,2,0,0.6898453
277,3,0,0.7033007
278,0,0,0.70026195
279,0,0,0.6852533
280,0,0,0.7035175
281,2,0,0.6924854
282,1,0,0.70662045
283,0,0,0.7000659
284,0,0,0.7202251
285,1,0,0.71542317
286,0,0,0.71367365
287,1,0,0.7141047
288,0,0,0.72854334
289,1,0,0.71477354
290,0,0,0.72305584
291,3,0,0.74633557
292,3,0,0.76388437
293,2,0,0.7822474
294,1,0,0.8050873
295,0,0,0.8093046
296,0,0,0.82619756
297,0,0,0.8476613
298,1,0,0.8455628
299,1,0,0.84042555
300,0,0,0.8620638
301,0,0,0.86829996
302,1,0,0.8727902
303,0,0,0.8782862
304,1,0,0.8662367
305,0,0,0.8652207
306,1,0,0.8535884
307,3,0,0.8815128
308,0,0,0.892877
309,0,0,0.90705025
310,3,0,0.895315
311,1,0,0.9022793
312,0,0,0.91346747
313,2,0,0.93116
314,1,0,0.9295575
315,0,0,0.9460301
316,0,0,0.9582664
317,0,0,0.9589582
318,3,0,0.9698993
319,1,0,1.006396
320,1,0,1.0042999
321,3,0,0.9938348
322,0,0,0.98859894
323,1,0,1.0101775
324,2,0,0.9983641
325,2,0,1.0218178
326,0,0,1.0360831
327,1,0,1.0298282
328,0,0,1.0462255
329,0,0,1.0361967
330,1,0,1.0348274
331,1,0,1.0380661
332,0,0,1.0205991
333,3,0,1.0269659
334,0,0,1.0387189
335,0,0,1.0641648
336,0,0,1.0818298
337,0,0,1.0639759
338,1,0,1.0871131
339,0,0,1.0983847
340,0,0,1.1105479
341,0,0,1.1367655
342,2,0,1.1960995
343,0,0,1.2202477
344,0,0,1.2548959
345,3,0,1.2597849
346,0,0,1.3127161
347,2,0,1.3263185
348,0,0,1.3298277
349,3,0,1.3181046
350,0,0,1.3225492
351,1,0,1.3412142
352,2,0,1.3506534
353,1,0,1.3400722
354,0,0,1.3880848
355,0,0,1.381144
356,3,0,1.3618201
357,2,0,1.3965662
358,0,0,1.4782654
359,2,0,1.5052497
360,0,1,0.53365636
361,3,1,0.53475994
362,2,1,0.56712765
363,0,1,0.579507
364,3,1,0.5627422
365,2,1,0.55252993
366,0,1,0.53458285
367,0,1,0.5321733
368,1,1,0.53866446
369,0,1,0.5311066
370,1,1,0.5239668
371,2,1,0.52519524
372,1,1,0.5410762
373,0,1,0.57258445
374,1,1,0.58284163
375,1,1,0.5889635
376,0,1,0.58268607
377,2,1,0.60777503
378,0,1,0.636795
379,3,1,0.62012976
380,1,1,0.6201018
381,0,1,0.61540085
382,2,1,0.6563404
383,1,1,0.66418314
384,0,1,0.68324476
385,2,1,0.659247
386,0,1,0.65661997
387,0,1,0.69411755
388,1,1,0.6812983
389,1,1,0.6821591
390,0,1,0.67906725
391,0,1,0.6666354
392,1,0,0.6414672
393,3,0,0.66188246
394,1,0,0.6949302
395,0,0,0.68582207
396,0,0,0.7082981
397,1,0,0.73864555
398,0,0,0.7322246
399,0,0,0.7185939
400,1,0,0.72037077
401,0,0,0.7064902
402,3,0,0.7088562
403,0,0,0.700224
404,1,0,0.68600386
405,3,0,0.67058223
406,0,0,0.6701113
407,0,0,0.66374636
408,1,0,0.6455403
409,0,0,0.64240783
410,1,0,0.63017166
411,0,0,0.6495378
412,0,0,0.61923385
413,3,0,0.60524637
414,2,0,0.61228466
415,0,0,0.63361835
416,0,0,0.6189733
417,1,0,0.6212886
418,0,0,0.6332824
419,0,0,0.6543079
420,1,0,0.6483746
421,1,0,0.6484134
422,3,0,0.64930516
423,0,0,0.6484991
424,0,0,0.63094044
425,0,0,0.6311662
426,0,0,0.60995805
427,0,0,0.5963974
428,1,0,0.6107655
429,0,0,0.61818063
430,0,0,0.60346746
431,0,0,0.60732037
432,3,0,0.59244657
433,0,0,0.60229105
434,0,0,0.6379309
435,3,0,0.63681006
436,0,0,0.6506706
437,1,0,0.6305643
438,3,0,0.63104886
439,0,0,0.65744036
440,3,0,0.68057287
441,1,0,0.65947235
442,1,0,0.66654897
443,1,0,0.6859467
444,0,0,0.66222966
445,1,0,0.663556
446,1,0,0.65852773
447,2,0,0.6346054
448,0,0,0.6235948
449,0,0,0.61078495
450,0,0,0.60594875
451,0,0,0.62530553
452,0,0,0.64547735
453,1,0,0.65075094
454,1,0,0.7190615
455,2,0,0.71266955
456,1,0,0.73164
457,0,0,0.7249305
458,0,0,0.7087223
459,1,0,0.7102272
460,3,0,0.70722616
461,0,0,0.71313965
462,0,0,0.6912284
463,2,0,0.67432946
464,0,0,0.65080106
465,0,0,0.6529629
466,1,0,0.6522919
467,0,0,0.66761506
468,0,0,0.66453695
469,3,0,0.6583517
470,0,0,0.6493432
471,2,0,0.63810766
472,2,0,0.6223597
473,1,0,0.5925137
474,3,0,0.6090465
475,0,0,0.6104807
476,3,0,0.6308403
477,3,0,0.6333971
478,3,0,0.6349537
479,0,0,0.62483925
480,0,0,0.6419726
481,1,0,0.62994367
482,2,0,0.61174244
483,0,0,0.583528
484,0,0,0.5283511
485,3,0,0.5503856
486,3,0,0.54182
487,2,0,0.5508723
488,1,0,0.55363065
489,1,0,0.5572286
490,1,0,0.5711459
491,0,0,0.56216556
492,2,0,0.57033026
493,3,0,0.5920846
494,1,0,0.58873177
495,0,0,0.5979931
496,2,0,0.5966055
497,3,0,0.58648413
498,1,0,0.59970784
499,2,0,0.6299085
500,2,0,0.6249072
501,0,0,0.64267
502,0,0,0.66749305
503,0,0,0.68375266
504,1,0,0.68331796
505,1,0,0.67220926
506,0,0,0.66600263
507,0,0,0.69319254
508,2,0,0.7281092
509,0,0,0.7368769
510,1,0,0.7350666
511,0,0,0.74159306
512,3,0,0.76025456
513,0,0,0.7889416
514,2,0,0.80161065
515,1,0,0.8184779
516,0,0,0.8391195
517,0,0,0.8558991
518,1,0,0.8811948
519,2,0,0.8896526
520,0,0,0.9073525
521,0,0,0.9335234
522,0,0,0.990473
523,2,0,0.9946142
524,1,0,1.066611
525,0,0,1.1122843
526,1,0,1.1478262
527,3,0,1.1772717
528,3,0,1.1838175
529,3,0,1.1660339
530,1,0,1.1914417
531,0,0,1.2096297
532,0,0,1.2338923
533,0,0,1.2837507
534,3,0,1.2853818
535,3,0,1.3616025
536,3,0,1.4066509
537,1,1,0.55437475
538,0,1,0.55784845
539,0,1,0.564553
540,0,1,0.56557655
541,0,1,0.5875913
542,2,1,0.589833
543,1,1,0.6129218
544,1,1,0.5871425
545,1,1,0.60484636
546,3,1,0.6059023
547,3,1,0.59898895
548,1,1,0.6221155
549,3,1,0.6184831
550,0,1,0.6154037
551,0,1,0.61540717
552,1,1,0.6164294
553,0,1,0.6015406
554,2,1,0.6131213
555,1,1,0.6085584
556,1,1,0.6176945
557,0,1,0.6212897
558,0,1,0.6365899
559,1,1,0.62475026
560,1,1,0.60404205
561,1,1,0.58332115
562,0,1,0.58772415
563,3,1,0.594442
564,2,1,0.5965451
565,3,1,0.61922836
566,3,1,0.6272696
567,0,1,0.6060171
568,1,1,0.60326487
569,0,1,0.5858383
570,1,1,0.595312
571,0,1,0.595359
572,0,1,0.5959541
573,0,1,0.5681484
574,3,1,0.5865311
575,2,1,0.57469165
576,2,1,0.5764964
577,1,1,0.5672614
578,0,0,0.5693554
579,0,0,0.5862225
580,3,0,0.60254425
581,3,0,0.6155927
582,1,0,0.6094587
583,2,0,0.6031478
584,0,0,0.5819085
585,1,0,0.58235997
586,1,0,0.56702155
587,3,0,0.5586967
588,0,0,0.54127306
589,0,0,0.5421303
590,1,0,0.561872
591,0,0,0.5886749
592,0,0,0.59715796
593,1,0,0.5872923
594,1,0,0.56402266
595,1,0,0.5582892
596,2,0,0.5691168
597,2,0,0.58802956
598,3,0,0.58864385
599,0,0,0.58586574
600,0,0,0.5871266
601,3,0,0.57398397
602,2,0,0.5622365
603,3,0,0.5651513
604,1,0,0.53375465
605,1,0,0.53547317
606,0,0,0.5489486
607,2,0,0.5791332
608,2,0,0.5525132
609,0,0,0.5609353
610,1,0,0.56008685
611,1,0,0.56516993
612,1,0,0.56565195
613,0,0,0.5700517
614,0,0,0.57538897
615,1,0,0.5726072
616,0,0,0.57764524
617,0,0,0.58846116
618,3,0,0.5855662
619,0,0,0.6073258
620,0,0,0.6132486
621,0,0,0.61546344
622,0,0,0.6058824
623,1,0,0.5997124
624,1,0,0.6238858
625,1,0,0.6194395
626,2,0,0.6155166
627,3,0,0.60180503
628,0,0,0.6013391
629,2,0,0.6054463
630,0,0,0.60546106
631,0,0,0.5973554
632,2,0,0.6096687
633,0,0,0.6241821
634,0,0,0.618969
635,0,0,0.6165117
636,3,0,0.6057953
637,3,0,0.6007213
638,0,0,0.62342685
639,1,0,0.60508597
640,1,0,0.6148091
641,0,0,0.6132437
642,0,0,0.63316286
643,0,0,0.6385026
644,0,0,0.64224035
645,2,0,0.64162916
646,1,0,0.6609035
647,0,0,0.6675204
648,2,0,0.679557
649,3,0,0.6619044
650,0,0,0.6453081
651,0,0,0.63689345
652,0,0,0.65625036
653,2,0,0.6567842
654,0,0,0.6377106
655,1,0,0.635229
656,1,0,0.6259202
657,3,0,0.63011515
658,0,0,0.6156081
659,3,0,0.6255491
660,1,0,0.63690084
661,0,0,0.62670016
662,0,0,0.6110464
663,0,0,0.61001337
664,0,0,0.6383528
665,1,0,0.6494
666,0,0,0.66662735
667,2,0,0.66350996
668,3,0,0.6571898
669,1,0,0.6619016
670,2,0,0.656901
671,0,0,0.6659967
672,2,0,0.65521514
673,0,0,0.67011935
674,0,0,0.67487735
675,3,0,0.69683343
676,3,0,0.70080894
677,1,0,0.711227
678,1,0,0.7220738
679,0,0,0.7293423
680,1,0,0.73530954
681,0,0,0.7288544
682,0,0,0.71481
683,2,0,0.77448463
684,0,0,0.7968501
685,0,0,0.78830355
686,0,0,0.7950826
687,0,0,0.8055537
688,2,0,0.8159254
689,1,0,0.82594496
690,0,0,0.852994
691,0,0,0.87682515
692,3,0,0.90772784
693,0,0,0.9219656
694,3,0,0.9259092
695,0,0,0.94733256
696,0,0,0.95695066
697,0,0,0.96008754
698,0,0,0.95280385
699,3,0,0.96999085
700,3,0,0.984997
701,0,0,0.99834645
702,0,0,1.0145397
703,1,0,1.0428407
704,0,0,1.072466
705,2,0,1.0827045
706,0,0,1.0906183
707,0,0,1.1059824
708,1,0,1.1223447
709,1,0,1.1485586
710,3,0,1.1879907
711,1,0,1.2248952
712,1,0,1.2868001
713,0,0,1.2914895
714,0,0,1.2846836
715,3,0,1.3391516
716,1,0,1.3543859
717,3,0,1.4372058
718,0,0,1.4995908
719,1,0,1.5510504
720,0,0,1.5446427
721,1,0,1.5603837
722,0,0,1.5624025
723,1,0,1.6382889
724,0,0,1.6821045
725,2,0,1.6978403
726,2,0,1.7156628
727,3,0,1.7701561
728,1,0,1.8626815
729,3,0,1.9838687
730,1,0,2.0346868
731,0,0,2.1355076
732,2,0,2.2457275
733,0,0,2.2431128
734,1,0,2.3648655
735,1,0,2.498549
736,1,0,2.5186565
737,3,0,2.7071207
738,0,0,2.7350562
739,1,0,2.7674015
740,1,0,2.787836
741,0,0,2.8056154
742,0,0,2.7967732
743,1,1,0.71285003
744,2,1,0.693054
745,1,1,0.65991014
746,3,1,0.639032
747,0,1,0.6521604
748,1,1,0.64088017
749,0,1,0.6448016
750,1,1,0.6475124
751,3,1,0.64126754
752,1,1,0.64585763
753,1,1,0.6544672
754,0,1,0.6526757
755,1,1,0.65054435
756,0,1,0.6237471
757,2,1,0.6189964
758,1,1,0.5970662
759,2,1,0.5833763
760,0,0,0.56551784
761,0,0,0.53741676
762,0,0,0.5519
763,1,0,0.60367006
764,2,0,0.58422565
765,2,0,0.5648804
766,2,0,0.58446246
767,0,0,0.58548516
768,1,0,0.5770543
769,3,0,0.5664483
770,0,0,0.5491482
771,3,0,0.57362485
772,1,0,0.5714606
773,1,0,0.570787
774,0,0,0.5660935
775,0,0,0.57065034
776,2,0,0.577486
777,0,0,0.57600445
778,2,0,0.58264405
779,2,0,0.60153675
780,0,0,0.6085828
781,0,0,0.61857176
782,0,0,0.6261828
783,2,0,0.65828395
784,2,0,0.6805917
785,0,0,0.6830139
786,0,0,0.68465346
787,3,0,0.69292843
788,1,0,0.7086012
789,0,0,0.70022285
790,3,0,0.7150829
791,2,0,0.71183866
792,1,0,0.7047166
793,1,0,0.65431315
794,1,0,0.65118283
795,2,0,0.64473253
796,2,0,0.6235595
797,0,0,0.63348645
798,1,0,0.64643073
799,1,0,0.6623306
800,0,0,0.6503018
801,1,0,0.65136176
802,1,0,0.66922456
803,3,0,0.6685359
804,1,0,0.675375
805,3,0,0.68773425
806,1,0,0.6822651
807,0,0,0.6986147
808,0,0,0.7007996
809,2,0,0.6846152
810,2,0,0.67380434
811,1,0,0.67972654
812,0,0,0.6942044
813,1,0,0.6729462
814,3,0,0.6828932
815,0,0,0.6902037
816,1,0,0.69497204
817,2,0,0.697443
818,0,0,0.6779531
819,1,0,0.68111235
820,2,0,0.6721732
821,0,0,0.68630147
822,1,0,0.6919121
823,3,0,0.69131315
824,0,0,0.7193871
825,0,0,0.7275017
826,0,0,0.7503321
827,2,0,0.74086475
828,0,0,0.72947395
829,0,0,0.71528006
830,0,0,0.7415833
831,1,0,0.7183731
832,3,0,0.7180732
833,0,0,0.7394732
834,0,0,0.719072
835,1,0,0.714861
836,0,0,0.7297148
837,0,0,0.73644143
838,0,0,0.7309657
839,0,0,0.744943
840,0,0,0.7736273
841,3,0,0.7961772
842,3,0,0.79747534
843,2,0,0.83423936
844,1,0,0.82891953
845,3,0,0.8342601
846,2,0,0.8513633
847,1,0,0.85638934
848,3,0,0.90047365
849,3,0,0.9423708
850,0,0,0.96904296
851,0,0,0.9778487
852,0,0,1.0313462
853,2,0,1.0623404
854,0,0,1.0592881
855,1,0,1.1097388
856,1,0,1.119775
857,0,0,1.1906568
858,1,0,1.2205331
859,3,0,1.2690526
860,0,0,1.2915303
861,1,0,1.4021086
862,3,0,1.5155238
863,0,0,1.6019022
864,0,0,1.6407982
865,1,0,1.6750842
866,0,0,1.8092812
867,0,0,1.8585982
868,0,1,0.6240218
869,0,1,0.64472306
870,2,1,0.647607
871,1,1,0.6769085
872,3,1,0.71102744
873,3,1,0.70878756
874,1,1,0.72304666
875,3,1,0.7069952
876,3,1,0.6847361
877,1,1,0.7333634
878,1,1,0.69377935
879,3,1,0.67039245
880,1,1,0.6421884
881,2,1,0.65518856
882,1,1,0.6543457
883,1,1,0.63632125
884,3,1,0.63716245
885,0,1,0.606641
886,0,1,0.6371706
887,0,1,0.6562927
888,3,1,0.68894196
889,3,1,0.7162415
890,0,1,0.7021343
891,0,0,0.7110646
892,2,0,0.7229115
893,1,0,0.71132606
894,2,0,0.70060784
895,0,0,0.70190156
896,1,0,0.6814434
897,0,0,0.6987738
898,0,0,0.68141174
899,0,0,0.6880904
900,1,0,0.7027339
901,0,0,0.6922383
902,1,0,0.68291414
903,1,0,0.7044606
904,0,0,0.7142246
905,1,0,0.7437378
906,1,0,0.75722814
907,3,0,0.70262116
908,0,0,0.70903194
909,2,0,0.68759066
910,2,0,0.68635464
911,1,0,0.68024176
912,2,0,0.6703325
913,0,0,0.6866447
914,1,0,0.6667388
915,1,0,0.66000324
916,1,0,0.6446126
917,1,0,0.61711186
918,0,0,0.6176811
919,0,0,0.6004969
920,1,0,0.5973683
921,1,0,0.6107674
922,2,0,0.5914302
923,2,0,0.5917757
924,3,0,0.59366906
925,1,0,0.597569
926,0,0,0.598529
927,1,0,0.5932342
928,3,0,0.5966418
929,3,0,0.59565705
930,0,0,0.5880888
931,3,0,0.57406783
932,1,0,0.57425404
933,3,0,0.5763616
934,0,0,0.5596154
935,0,0,0.55678016
936,3,0,0.55642295
937,0,0,0.5474565
938,2,0,0.5442057
939,2,0,0.5678342
940,3,0,0.6365276
941,0,0,0.6154756
942,0,0,0.62654275
943,0,0,0.6134754
944,2,0,0.63056153
945,2,0,0.6425911
946,1,0,0.6414384
947,1,0,0.6448378
948,0,0,0.6310274
949,0,0,0.6350144
950,1,0,0.6345229
951,0,0,0.60897404
952,0,0,0.61752474
953,1,0,0.63667667
954,0,0,0.636579
955,2,0,0.63430744
956,0,0,0.64469624
957,0,0,0.65769124
958,1,0,0.6701343
959,0,0,0.65628994
960,2,0,0.6545599
961,0,0,0.6650109
962,2,0,0.64984316
963,0,0,0.63748
964,3,0,0.6580123
965,2,0,0.6437348
966,0,0,0.6217067
967,0,0,0.6475644
968,0,0,0.65151334
969,0,0,0.65541863
970,0,0,0.58772314
971,1,0,0.6023097
972,1,0,0.58436596
973,0,0,0.6187126
974,0,0,0.6417815
975,1,0,0.6499803
976,0,0,0.67614746
977,2,0,0.68386936
978,1,0,0.6948211
979,1,0,0.7070813
980,0,0,0.7243176
981,1,0,0.74494606
982,0,0,0.75451803
983,3,0,0.7465955
984,0,0,0.75351644
985,1,0,0.76732516
986,3,0,0.76602525
987,1,0,0.7681079
988,0,0,0.7692885
989,1,0,0.78784084
990,0,0,0.80860496
991,0,0,0.82702935
992,1,0,0.8535931
993,1,0,0.87937915
994,0,0,0.89405936
995,2,0,0.8875773
996,0,0,0.900999
997,0,0,0.91771203
998,0,0,0.96253496
999,1,0,0.97896343
1000,2,0,1.0360887
1001,0,0,1.0379717
1002,0,0,1.0662857
1003,1,0,1.070889
1004,0,0,1.1158515
1005,0,0,1.1242533
1006,0,0,1.1296709
1007,3,0,1.1942048
1008,0,0,1.230845
1009,0,0,1.2628809
1010,1,0,1.2938867
1011,0,0,1.3197902
1012,0,0,1.3487991
1013,1,0,1.3914558
1014,2,1,0.49131343
1015,0,1,0.4870895
1016,3,1,0.48351127
1017,0,1,0.5148022
1018,3,1,0.5100047
1019,0,1,0.48369464
1020,0,1,0.4718809
1021,1,1,0.47850755
1022,2,1,0.4777602
1023,0,1,0.47837335
1024,3,1,0.47556347
1025,0,1,0.4691575
1026,1,1,0.4586733
1027,3,1,0.49822876
1028,2,1,0.5257843
1029,3,1,0.51272523
1030,2,1,0.5378891
1031,1,1,0.5439921
1032,3,1,0.5391837
1033,0,1,0.5620328
1034,0,1,0.5858122
1035,1,1,0.5866429
1036,0,1,0.5910488
1037,2,0,0.607269
1038,2,0,0.59846765
1039,0,0,0.5953594
1040,0,0,0.61792105
1041,0,0,0.64189035
1042,1,0,0.62376976
1043,0,0,0.62719244
1044,0,0,0.632307
1045,2,0,0.6274441
1046,2,0,0.62703055
1047,0,0,0.62656206
1048,1,0,0.645994
1049,0,0,0.6562008
1050,1,0,0.65905315
1051,0,0,0.64507484
1052,0,0,0.65746725
1053,0,0,0.6692876
1054,1,0,0.6849959
1055,1,0,0.6956726
1056,3,0,0.6993915
1057,1,0,0.6820293
1058,1,0,0.6701975
1059,0,0,0.6878154
1060,3,0,0.6717678
1061,1,0,0.67522013
1062,1,0,0.6728226
1063,1,0,0.6692746
1064,0,0,0.6714184
1065,3,0,0.65770334
1066,0,0,0.6380087
1067,0,0,0.6369748
1068,2,0,0.6297462
1069,1,0,0.6289631
1070,0,0,0.61568666
1071,0,0,0.5969821
1072,3,0,0.59553593
1073,0,0,0.59708285
1074,3,0,0.58517027
1075,0,0,0.60522366
1076,2,0,0.61018515
1077,1,0,0.5939432
1078,1,0,0.5996524
1079,3,0,0.58366513
1080,2,0,0.5771732
1081,1,0,0.59202397
1082,3,0,0.58754426
1083,0,0,0.56350553
1084,3,0,0.54563123
1085,2,0,0.52995104
1086,3,0,0.5396451
1087,1,0,0.5324726
1088,0,0,0.56123114
1089,0,0,0.56732684
1090,0,0,0.565646
1091,3,0,0.5599011
1092,0,0,0.56040627
1093,2,0,0.5375564
1094,3,0,0.524388
1095,1,0,0.54664975
1096,1,0,0.55079895
1097,3,0,0.5387895
1098,0,0,0.5594433
1099,0,0,0.5549922
1100,1,0,0.55247116
1101,3,0,0.5570605
1102,0,0,0.5653732
1103,0,0,0.56617254
1104,2,0,0.5609544
1105,3,0,0.5525309
1106,1,0,0.56852263
1107,2,0,0.5697863
1108,3,0,0.55655736
1109,0,0,0.5739955
1110,0,0,0.5922126
1111,3,0,0.5929318
1112,1,0,0.58680946
1113,2,0,0.59798366
1114,3,0,0.5991272
1115,2,0,0.61670476
1116,1,0,0.6207557
1117,1,0,0.640029
1118,3,0,0.62189513
1119,1,0,0.6127928
1120,0,0,0.6133853
1121,0,0,0.63477784
1122,0,0,0.63173443
1123,1,0,0.66215235
1124,1,0,0.6805689
1125,1,0,0.6689255
1126,0,0,0.68002963
1127,2,0,0.694185
1128,2,0,0.68573207
1129,1,0,0.7040184
1130,1,0,0.72827524
1131,2,0,0.7508409
1132,3,0,0.7562804
1133,3,0,0.76037693
1134,0,0,0.7893842
1135,1,0,0.7989474
1136,0,0,0.8100634
1137,0,0,0.8339673
1138,1,0,0.86478466
1139,0,0,0.8791256
1140,0,0,0.9140778
1141,0,0,1.0218171
1142,3,0,1.0508128
1143,3,0,1.1027092
1144,2,0,1.1360967
1145,1,0,1.1508268
1146,1,0,1.1716667
1147,3,0,1.2424278
1148,2,0,1.2946563
1149,1,0,1.3122934
1150,3,0,1.4035194
1151,1,0,1.4262029
1152,2,0,1.5757225
1153,1,0,1.7273823
1154,3,0,1.7562599
