candidate_id,detector_id,event_id,engine,event_start_cycle,event_end_cycle,event_duration_endpoints,policy_id,onset_cycle,false_pre_onset_event,valid_post_onset_detection_event,crosses_onset
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_81_event_001,81,242,288,47,normalized_life_last_10pct_endpoint,260,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_94_event_001,94,268,306,39,normalized_life_last_10pct_endpoint,276,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_102_event_001,102,151,164,14,normalized_life_last_10pct_endpoint,148,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_106_event_001,106,207,231,25,normalized_life_last_10pct_endpoint,245,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_106_event_002,106,252,272,21,normalized_life_last_10pct_endpoint,245,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_109_event_001,109,175,183,9,normalized_life_last_10pct_endpoint,199,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_109_event_002,109,209,220,12,normalized_life_last_10pct_endpoint,199,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_114_event_001,114,158,203,46,normalized_life_last_10pct_endpoint,183,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_120_event_001,120,122,129,8,normalized_life_last_10pct_endpoint,117,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_125_event_001,125,156,168,13,normalized_life_last_10pct_endpoint,152,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_126_event_001,126,190,199,10,normalized_life_last_10pct_endpoint,180,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_128_event_001,128,264,266,3,normalized_life_last_10pct_endpoint,273,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_128_event_002,128,279,303,25,normalized_life_last_10pct_endpoint,273,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_134_event_001,134,210,213,4,normalized_life_last_10pct_endpoint,223,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_134_event_002,134,222,247,26,normalized_life_last_10pct_endpoint,223,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_140_event_001,140,208,214,7,normalized_life_last_10pct_endpoint,193,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_144_event_001,144,170,182,13,normalized_life_last_10pct_endpoint,202,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_144_event_002,144,199,224,26,normalized_life_last_10pct_endpoint,202,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_157_event_001,157,222,237,16,normalized_life_last_10pct_endpoint,214,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_163_event_001,163,203,203,1,normalized_life_last_10pct_endpoint,183,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_165_event_001,165,135,147,13,normalized_life_last_10pct_endpoint,149,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_165_event_002,165,156,165,10,normalized_life_last_10pct_endpoint,149,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_166_event_001,166,41,42,2,normalized_life_last_10pct_endpoint,184,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_166_event_002,166,156,180,25,normalized_life_last_10pct_endpoint,184,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_166_event_003,166,191,204,14,normalized_life_last_10pct_endpoint,184,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_167_event_001,167,210,232,23,normalized_life_last_10pct_endpoint,209,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_172_event_001,172,150,174,25,normalized_life_last_10pct_endpoint,157,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_175_event_001,175,171,202,32,normalized_life_last_10pct_endpoint,182,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_178_event_001,178,139,148,10,normalized_life_last_10pct_endpoint,134,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_180_event_001,180,238,297,60,normalized_life_last_10pct_endpoint,268,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_198_event_001,198,119,129,11,normalized_life_last_10pct_endpoint,185,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_198_event_002,198,203,205,3,normalized_life_last_10pct_endpoint,185,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_199_event_001,199,201,219,19,normalized_life_last_10pct_endpoint,198,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_201_event_001,201,172,191,20,normalized_life_last_10pct_endpoint,172,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_212_event_001,212,143,149,7,normalized_life_last_10pct_endpoint,135,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_215_event_001,215,190,226,37,normalized_life_last_10pct_endpoint,204,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_218_event_001,218,207,237,31,normalized_life_last_10pct_endpoint,214,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_227_event_001,227,176,184,9,normalized_life_last_10pct_endpoint,166,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_236_event_001,236,221,239,19,normalized_life_last_10pct_endpoint,216,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_239_event_001,239,248,263,16,normalized_life_last_10pct_endpoint,237,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_253_event_001,253,146,149,4,normalized_life_last_10pct_endpoint,135,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_255_event_001,255,308,340,33,normalized_life_last_10pct_endpoint,307,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_259_event_001,259,200,205,6,normalized_life_last_10pct_endpoint,185,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_7_event_001,7,148,174,27,normalized_life_last_20pct_endpoint,140,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_14_event_001,14,179,193,15,normalized_life_last_20pct_endpoint,155,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_24_event_001,24,169,191,23,normalized_life_last_20pct_endpoint,153,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_26_event_001,26,179,187,9,normalized_life_last_20pct_endpoint,150,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_27_event_001,27,160,176,17,normalized_life_last_20pct_endpoint,141,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_30_event_001,30,135,166,32,normalized_life_last_20pct_endpoint,133,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_001,32,37,50,14,normalized_life_last_20pct_endpoint,225,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_002,32,206,212,7,normalized_life_last_20pct_endpoint,225,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_003,32,242,281,40,normalized_life_last_20pct_endpoint,225,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_41_event_001,41,243,262,20,normalized_life_last_20pct_endpoint,210,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_42_event_001,42,127,162,36,normalized_life_last_20pct_endpoint,177,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_42_event_002,42,173,221,49,normalized_life_last_20pct_endpoint,177,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_46_event_001,46,188,201,14,normalized_life_last_20pct_endpoint,161,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_52_event_001,52,146,174,29,normalized_life_last_20pct_endpoint,140,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_66_event_001,66,146,170,25,normalized_life_last_20pct_endpoint,137,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_73_event_001,73,225,239,15,normalized_life_last_20pct_endpoint,192,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_81_event_001,81,242,288,47,normalized_life_last_20pct_endpoint,231,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_94_event_001,94,268,306,39,normalized_life_last_20pct_endpoint,245,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_102_event_001,102,151,164,14,normalized_life_last_20pct_endpoint,132,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_106_event_001,106,207,231,25,normalized_life_last_20pct_endpoint,218,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_106_event_002,106,252,272,21,normalized_life_last_20pct_endpoint,218,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_109_event_001,109,175,183,9,normalized_life_last_20pct_endpoint,177,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_109_event_002,109,209,220,12,normalized_life_last_20pct_endpoint,177,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_114_event_001,114,158,203,46,normalized_life_last_20pct_endpoint,163,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_120_event_001,120,122,129,8,normalized_life_last_20pct_endpoint,104,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_125_event_001,125,156,168,13,normalized_life_last_20pct_endpoint,135,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_126_event_001,126,190,199,10,normalized_life_last_20pct_endpoint,160,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_128_event_001,128,264,266,3,normalized_life_last_20pct_endpoint,243,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_128_event_002,128,279,303,25,normalized_life_last_20pct_endpoint,243,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_134_event_001,134,210,213,4,normalized_life_last_20pct_endpoint,198,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_134_event_002,134,222,247,26,normalized_life_last_20pct_endpoint,198,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_140_event_001,140,208,214,7,normalized_life_last_20pct_endpoint,172,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_144_event_001,144,170,182,13,normalized_life_last_20pct_endpoint,180,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_144_event_002,144,199,224,26,normalized_life_last_20pct_endpoint,180,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_157_event_001,157,222,237,16,normalized_life_last_20pct_endpoint,190,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_163_event_001,163,203,203,1,normalized_life_last_20pct_endpoint,163,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_165_event_001,165,135,147,13,normalized_life_last_20pct_endpoint,133,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_165_event_002,165,156,165,10,normalized_life_last_20pct_endpoint,133,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_166_event_001,166,41,42,2,normalized_life_last_20pct_endpoint,164,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_166_event_002,166,156,180,25,normalized_life_last_20pct_endpoint,164,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_166_event_003,166,191,204,14,normalized_life_last_20pct_endpoint,164,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_167_event_001,167,210,232,23,normalized_life_last_20pct_endpoint,186,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_172_event_001,172,150,174,25,normalized_life_last_20pct_endpoint,140,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_175_event_001,175,171,202,32,normalized_life_last_20pct_endpoint,162,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_178_event_001,178,139,148,10,normalized_life_last_20pct_endpoint,119,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_180_event_001,180,238,297,60,normalized_life_last_20pct_endpoint,238,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_198_event_001,198,119,129,11,normalized_life_last_20pct_endpoint,165,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_198_event_002,198,203,205,3,normalized_life_last_20pct_endpoint,165,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_199_event_001,199,201,219,19,normalized_life_last_20pct_endpoint,176,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_201_event_001,201,172,191,20,normalized_life_last_20pct_endpoint,153,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_212_event_001,212,143,149,7,normalized_life_last_20pct_endpoint,120,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_215_event_001,215,190,226,37,normalized_life_last_20pct_endpoint,181,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_218_event_001,218,207,237,31,normalized_life_last_20pct_endpoint,190,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_227_event_001,227,176,184,9,normalized_life_last_20pct_endpoint,148,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_236_event_001,236,221,239,19,normalized_life_last_20pct_endpoint,192,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_239_event_001,239,248,263,16,normalized_life_last_20pct_endpoint,211,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_253_event_001,253,146,149,4,normalized_life_last_20pct_endpoint,120,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_255_event_001,255,308,340,33,normalized_life_last_20pct_endpoint,273,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_259_event_001,259,200,205,6,normalized_life_last_20pct_endpoint,165,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_7_event_001,7,148,174,27,normalized_life_last_30pct_endpoint,122,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_14_event_001,14,179,193,15,normalized_life_last_30pct_endpoint,136,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_24_event_001,24,169,191,23,normalized_life_last_30pct_endpoint,134,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_26_event_001,26,179,187,9,normalized_life_last_30pct_endpoint,131,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_27_event_001,27,160,176,17,normalized_life_last_30pct_endpoint,124,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_30_event_001,30,135,166,32,normalized_life_last_30pct_endpoint,117,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_001,32,37,50,14,normalized_life_last_30pct_endpoint,197,True,False,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_002,32,206,212,7,normalized_life_last_30pct_endpoint,197,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_32_event_003,32,242,281,40,normalized_life_last_30pct_endpoint,197,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_41_event_001,41,243,262,20,normalized_life_last_30pct_endpoint,184,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_42_event_001,42,127,162,36,normalized_life_last_30pct_endpoint,155,True,False,True
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_42_event_002,42,173,221,49,normalized_life_last_30pct_endpoint,155,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_46_event_001,46,188,201,14,normalized_life_last_30pct_endpoint,141,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_52_event_001,52,146,174,29,normalized_life_last_30pct_endpoint,122,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_66_event_001,66,146,170,25,normalized_life_last_30pct_endpoint,119,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_73_event_001,73,225,239,15,normalized_life_last_30pct_endpoint,168,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_81_event_001,81,242,288,47,normalized_life_last_30pct_endpoint,202,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_94_event_001,94,268,306,39,normalized_life_last_30pct_endpoint,215,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_102_event_001,102,151,164,14,normalized_life_last_30pct_endpoint,115,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_106_event_001,106,207,231,25,normalized_life_last_30pct_endpoint,191,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_106_event_002,106,252,272,21,normalized_life_last_30pct_endpoint,191,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_109_event_001,109,175,183,9,normalized_life_last_30pct_endpoint,155,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_109_event_002,109,209,220,12,normalized_life_last_30pct_endpoint,155,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_114_event_001,114,158,203,46,normalized_life_last_30pct_endpoint,143,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_120_event_001,120,122,129,8,normalized_life_last_30pct_endpoint,91,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_125_event_001,125,156,168,13,normalized_life_last_30pct_endpoint,118,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_126_event_001,126,190,199,10,normalized_life_last_30pct_endpoint,140,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_128_event_001,128,264,266,3,normalized_life_last_30pct_endpoint,213,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_128_event_002,128,279,303,25,normalized_life_last_30pct_endpoint,213,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_134_event_001,134,210,213,4,normalized_life_last_30pct_endpoint,173,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_134_event_002,134,222,247,26,normalized_life_last_30pct_endpoint,173,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_140_event_001,140,208,214,7,normalized_life_last_30pct_endpoint,150,False,True,False
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,engine_144_event_001,144,170,182,13,normalized_life_last_30pct_endpoint,157,False,True,False
